"Species","CU_ID","Year","SpnForTrend_Total","SpnForTrend_Wild","DU_ID","CU_Name","CU_acro","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild"
"Chinook","CK-04",2019,178,178,"DU3","Lower Fraser River_SP_1.3","LFR-spring",178,178,NA,NA
"Chinook","CK-04",2020,191,191,"DU3","Lower Fraser River_SP_1.3","LFR-spring",191,191,NA,NA
"Chinook","CK-04",2021,134,134,"DU3","Lower Fraser River_SP_1.3","LFR-spring",134,134,NA,NA
"Chinook","CK-04",2022,275,275,"DU3","Lower Fraser River_SP_1.3","LFR-spring",275,275,NA,NA
"Chinook","CK-05",1975,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1976,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1977,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1978,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1979,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1980,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1981,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1982,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1983,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
